Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
20.86200189590454	0	-287.93503	144.70253	132.58942	-760.68713	117.77058823529411	39.68078902064622	40042	40042
43.97579884529114	1	-257.19916	140.99767	186.95914	-729.20355	123.15644171779141	47.598687326347445	40149	80191
64.93292784690857	2	-221.99524	119.30405	126.33937	-526.92535	121.07250755287009	36.3931312125291	40075	120266
85.27315187454224	3	-211.76585	112.620735	169.24385	-543.2261	119.56417910447762	34.989225213521784	40054	160320
105.56529688835144	4	-183.80115	121.24883	203.28365	-545.02216	118.77448071216617	34.55348327350969	40027	200347
126.868323802948	5	-187.17088	92.24152	173.15143	-442.0274	119.36011904761905	57.383822218172085	40105	240452
149.05963897705078	6	-177.858	99.54403	155.43454	-447.64325	123.40307692307692	47.553830127165504	40106	280558
170.92330384254456	7	-152.56529	111.081024	148.37488	-575.2672	118.4733727810651	59.421527496728544	40044	320602
190.76002097129822	8	-153.5137	97.869835	219.56165	-493.5303	117.06432748538012	38.72993103377616	40036	360638
210.04900193214417	9	-146.5094	101.91621	202.99487	-537.8545	113.41926345609065	29.76070517077906	40037	400675
230.13832092285156	10	-144.11638	90.065796	149.02908	-550.4675	116.08695652173913	56.530648127310215	40050	440725
253.6921989917755	11	-139.99063	93.065216	198.97598	-382.42123	116.06086956521739	35.31119302525822	40041	480766
273.6661238670349	12	-129.10938	96.072426	231.71417	-367.4243	118.88724035608308	35.33400255138497	40065	520831
296.0453209877014	13	-121.83612	86.66386	196.42491	-486.56042	127.53503184713375	62.877145267366494	40046	560877
319.98542499542236	14	-122.07477	88.55679	176.54353	-380.91553	136.8566552901024	94.46865922178127	40099	600976
344.5097179412842	15	-107.08256	93.29044	172.6258	-456.53006	145.76363636363635	99.02755606145257	40085	641061
368.34934091567993	16	-94.380035	96.04071	180.36105	-368.366	149.0185185185185	86.10224127954375	40235	681296
395.6368718147278	17	-106.8592	101.52405	207.38452	-436.93903	176.2555066079295	123.5960305561499	40010	721306
419.7713108062744	18	-99.8891	107.12726	175.43262	-324.44656	176.99557522123894	68.94255000839664	40001	761307
448.4930818080902	19	-95.73099	105.796974	208.62068	-385.44772	204.4010152284264	119.11103295479451	40267	801574
475.56952381134033	20	-94.40394	130.39659	230.93341	-450.56708	218.3423913043478	114.03783290387493	40175	841749
508.0691719055176	21	-93.68509	127.99891	212.22104	-369.1078	237.81065088757396	141.21149400953433	40190	881939
546.2928378582001	22	-122.269035	256.98575	190.3082	-1781.4814	298.54477611940297	173.0127083448799	40005	921944
589.9376509189606	23	-124.178734	183.49797	194.92958	-990.9216	332.57851239669424	211.9889577689575	40242	962186
634.3281819820404	24	-82.75996	137.84978	195.58948	-522.6068	329.58870967741933	214.865712454681	40869	1003055
669.8724048137665	25	-50.854984	141.02556	206.38432	-444.7427	280.09090909090907	180.31417450036196	40053	1043108
710.4738178253174	26	-49.71328	120.78848	233.0386	-367.21378	298.26666666666665	197.08115267762346	40266	1083374
749.481271982193	27	-31.780682	111.78905	234.91245	-257.88287	298.7985074626866	199.70309229553558	40039	1123413
785.0338888168335	28	-12.395563	118.1033	270.69238	-247.88307	266.112582781457	175.93047027583066	40183	1163596
827.7643258571625	29	9.966618	138.49365	249.00772	-332.29904	351.13157894736844	245.92312709740534	40029	1203625
871.522891998291	30	-18.747711	129.90094	189.30643	-302.87323	347.8205128205128	245.42311677160907	40695	1244320
923.7991898059845	31	3.7834682	135.66438	217.11006	-415.6172	363.6909090909091	268.1791038383438	40006	1284326
986.2889778614044	32	8.352072	131.34462	212.01251	-328.95343	429.3829787234043	298.21201605365735	40362	1324688
1044.5964629650116	33	45.283157	127.10748	233.19266	-324.99478	429.7659574468085	288.9094102858937	40398	1365086
1095.0806658267975	34	46.83293	147.46579	244.2704	-493.50308	383.8666666666667	233.59586863056856	40306	1405392
1145.5768067836761	35	30.66851	140.0198	226.49203	-441.57462	379.4579439252336	262.5172991317641	40602	1445994
1188.902328968048	36	43.02456	120.68613	231.28824	-275.7579	310.7751937984496	228.71387088125977	40090	1486084
1244.8425538539886	37	50.90286	127.10964	218.69406	-340.5682	371.3796296296296	249.2957754538213	40109	1526193
1295.3094189167023	38	85.96819	116.21774	231.32916	-252.46204	351.2719298245614	232.84650787505728	40045	1566238
1348.256767988205	39	66.58669	126.227425	245.59818	-365.3479	381.56190476190477	258.6885210628899	40064	1606302
1400.2290468215942	40	96.843315	108.76228	243.89946	-155.17253	377.74528301886795	258.5501324082355	40041	1646343
1449.220223903656	41	114.172966	104.55828	234.14043	-103.90492	352.63157894736844	221.30439714509185	40200	1686543
1496.4431459903717	42	104.4405	108.43923	237.747	-221.84772	366.990990990991	225.67035256529792	40736	1727279
1538.4216639995575	43	113.72492	104.27512	238.78394	-120.27385	325.7073170731707	223.274257386518	40062	1767341
1575.2283968925476	44	115.51784	109.28016	245.4019	-332.29218	310.1782945736434	168.98389674265366	40013	1807354
1607.8034648895264	45	132.7754	88.59537	243.0101	-115.37839	265.55629139072846	138.65425272297546	40099	1847453
1644.6498608589172	46	133.47076	94.54014	249.22638	-173.90233	276.93793103448274	168.11470717380197	40156	1887609
1683.1787898540497	47	129.22688	93.44944	246.78395	-90.91466	280.6643356643357	175.53669725928683	40135	1927744
1721.0832738876343	48	123.91497	104.47558	235.28734	-320.90283	282.9225352112676	202.52723948052238	40175	1967919
1757.7778458595276	49	131.39467	97.70942	266.04422	-267.24084	289.45323741007195	196.23445172414554	40234	2008153
1793.5489439964294	50	137.84122	92.84531	250.42041	-187.1688	279.5486111111111	191.1111089662064	40255	2048408
1824.279228925705	51	149.32478	83.78888	266.9087	-88.088684	241.73493975903614	122.45673780823545	40128	2088536
1853.2842638492584	52	157.43185	80.118935	247.26143	-90.384674	229.77142857142857	112.50480261857668	40210	2128746
1881.448900938034	53	143.47427	91.55514	257.5988	-95.78001	227.3502824858757	83.62386470683934	40241	2168987
1912.2194647789001	54	165.63826	71.76347	249.71844	-222.65213	242.94545454545454	76.77233202259343	40086	2209073
1940.6685469150543	55	177.38902	40.48251	230.92625	-40.759823	236.01764705882354	41.55088638247745	40123	2249196
1969.9505608081818	56	174.27255	54.24291	254.28915	-95.693214	228.4659090909091	83.01559941902983	40210	2289406
1997.4334268569946	57	174.04543	56.50497	254.65392	-84.93851	210.37696335078533	41.232253592648796	40182	2329588
2028.6598229408264	58	157.67389	76.82891	248.26501	-141.33612	228.97714285714287	159.80630970148883	40071	2369659
2056.0210468769073	59	155.64185	81.09385	253.32407	-273.31018	196.25	104.28299191124498	40035	2409694
2085.140383005142	60	158.382	77.82244	241.69049	-95.93854	214.28877005347593	168.68745276044714	40072	2449766
2110.9496297836304	61	151.86249	87.178215	248.71089	-100.61076	194.373786407767	117.1037258750483	40041	2489807
2134.935393810272	62	154.60039	85.783226	263.99344	-169.52542	180.94594594594594	60.88134048047711	40170	2529977
2159.4616379737854	63	169.26869	69.855804	266.1024	-93.63521	187.24766355140187	61.73912079546552	40071	2570048
2185.795650959015	64	177.88597	56.565556	254.46602	-111.60506	195.57560975609755	63.59820821409069	40093	2610141
2218.1205699443817	65	188.59444	42.91793	248.6824	-57.446	208.33160621761658	66.27219648505506	40208	2650349
2245.73881483078	66	181.07466	48.401066	243.52832	-81.258705	216.7027027027027	89.84739761150716	40090	2690439
2273.397004842758	67	181.41795	57.896366	253.25899	-61.68509	215.02139037433156	100.1332778812485	40209	2730648
2298.9769728183746	68	192.60802	34.357944	251.88568	-149.61331	199.2189054726368	24.206241553477348	40043	2770691
2322.844715833664	69	190.52722	38.513443	250.04358	-35.950027	186.74418604651163	22.492472149749283	40150	2810841
2349.1166698932648	70	167.41377	69.57538	265.7281	-87.70027	189.05188679245282	99.77518193620234	40079	2850920
